種別,セグメントID,テキスト,日本語BERT_判定,多言語XLM-R_判定
字幕,1,せになるかどうかと いうのを僕はベストで考える一番最初に 考えるべきだと思うんですよね要は自分が 幸せになるために社会に迷惑をかけては いけないよねっていう話でなので自分が すげーやりたいんだったら社会は自分が 楽しくなるために存在するので,Neutral,Positive
字幕,2,のでなかなかその女の人がこう 子育てをしながら働くってなると ヨーロッパの場合だとそのフランスの場合だとその 父親と母親が両方が手分けしたりするので なのであのまあ子供の負担というのは多少 ありながらもまああのキャリアを男女 詰めるよねなん,Neutral,Negative
字幕,2,カ とかよりは割とみんな甘い目で見てくれますね なのでそのなんかじゃあフランスとかで 子供を見ましたってなってなんかじゃあ あの1ヶ月ぐらい経つとあのいつ職場に 復帰するのって聞かれるのが当たり前って いう文化なんですけどでも日本の場合って,Negative,Neutral
字幕,3,うかと思うんですけどでも あの何年か経った後に めちゃめちゃ政治的にうまくいく可能性も あるんですよ小池百合子さんも元々テレビ 東京のキャスターとかアナウンサーですよ ねだからそのなんかテレビアナウンサー 上がりなんですけどでもそのなんかじ,Neutral,Positive
字幕,3,良くないという決めつけも どうかなとは思うんですよただあの得意な あきこさんがあの当選してから勉強します みたいなのは先にやっとけよって思うので なんか態度としてどうかなと思うんです けどただまあそのそれがじゃあ絶対的に 政治家になってはな,Negative,Positive
字幕,5,さんこんばんは27さん男です私には1歳 の子供がいます正直愛するか不安でしたが 可愛くて仕方がありません時より夜泣きを あやすのに辛い時もありますがふとした時 に生まれてきてありがとうと思います女性 は出産に伴って脳が変化すると言いますが ,Negative,Positive
字幕,6,大手の通信キャリアに勤めて年収700万 の29歳です僕の目標は40歳まで年収 2000万超えることですうちの会社だと 本部長くらいにならないともらえないので 無理ですGoogleが 科学戦略コンサルか総合商社に中途入社 するか予備試験を受け,Neutral,Negative
字幕,6, 2000万を立てたいっていう目標を他人 に任せてるっていうのが僕間違いだと思う んですよ要は戦略コンサルの 偉い人とか人事の人にお前すごいなあ じゃあ年収2000万円やるよ Googleでもいいですけどっていう その他人にそのなんかその ,Neutral,Negative
字幕,6,首根っこを掴まれた状態でそのお願いし ますように2000万にしてくださいよっ ていうのをやらなきゃいけないっていうの がその人生でせっかく目標を立ててやって きてで優秀だと思うんですよね29歳の 年収700万円なのでなんでそれであれば その,Positive,Neutral
字幕,6,広げるっていう風に生きてった方が 幸せな確率は高いんじゃないとか角度って いうのは確率の確認のです アングルじゃないですすいませんあのこの 三角形の180度とかの角度じゃなくて 確率の角度であのその 確かさっていう意味で使いましたすいません,Neutral,Negative
字幕,7,要はそのこういう部署が人足り ないからお前行ってこいって言われて 飛ばされたりとかであのこのプロジェクト は絶対うまくいくって言っても上司が理解 しないとそんなやんねえよって言われ ちゃったりするみたいなのでなので基本的 にはその与えられた,Negative,Neutral
字幕,7,状況の中でどういう風 にその自分が立ち居振る舞うかっていう ところで会社を考えればいいのでなので なんかこう思い通りにならなかったって 言ってそんなもんだよねっていう気がします,Negative,Neutral
字幕,8,んですけどあの 13歳から17歳が1%見てるという感じ で割とあのデータは見れたりするので YouTubeやってみるといろいろ データが見ると面白いですよなんかそう データが見るのが面白いという性格がある かどうかでやるんですけど まあでも,Neutral,Positive
字幕,8,あの夜にやると10代が見れない なら当然と思いますけど私は頑張ってと,Positive,Negative
字幕,9,になんかあの 頑張ってってやる気があっていう人ってい ないと思うんですよねそのえっと何かを しようとしてる人にあのなんか 応援してるよ的なメッセージを伝える言葉として 頑張ってという言葉があるんですよで じゃあ何かを一緒にやろうとする人に ,Neutral,Positive
字幕,9,くさ がるじゃねえかみたいな,Neutral,Negative
字幕,10,もまあ家賃とか親に出しても やってるんでしょうねきっとなのでもう そこは親に金を出してもらってる限りは もう親に金出してもらってるから仕方ない ので後2年間卒業するまで 我慢すればいいんじゃないかなと思います けどただそこを揉めてあのその一,Negative,Positive
字幕,11,ど多分ネット上でもそっち側の意見 のが多いんじゃないかなと思うんですけど でまぁたまたまその何もなまあ表向き何も なかったように見えるんですけど動物に よってはストレスにめちゃくちゃ弱い動物 っていたりするんですよねなんでその突然 人間がバ,Neutral,Negative
字幕,11,そのなんかトラブルのように見える形の 演出としてやってるんならいいんですけど なんかその動物園側がクレームを入れて るって時点で多分演出でも何でもないと 思うんですよねでその 意見に陥るのそんなに面白い」っていう僕 はそっちのが気になるんで,Neutral,Negative
字幕,11,すよねそのなんか 池に落ちただけでそんな笑えるっていう方 が僕はむしろ気になるのでなのでなんか そこら辺のその芸人さんの笑いの取り方が ちょっと安易だという風な部分があるん じゃないかなと思いますけど,Neutral,Positive
字幕,12,の世論は その大使偉いとなったんですけどいやいや 国連出てくかどうかを現場の職員が決め ちゃダメでしょっていう風に僕は思うん ですよでもなんかそういう個人の権限で できることってあるので その今だとまあその電話が通じるとか インターネットが,Neutral,Negative
字幕,12,正するしかないよねとかっていうの だったりするのでなんでなんだかんだ言っ てその法律とか憲法がどうこうっていうの もまあ大事ではあるんですけどただあの 現場の人で実はあの物事決められてしまう よねっていうのは昔からあんまり変わん ないんじゃ,Neutral,Negative
字幕,13,で他のゲームを全くしませんほっといても 大丈夫そう大丈夫でしょうか ちなみにマイクラPCで英語設定してます 英語設定のPCでマイクラをきちんとやっ てるんだったら全然問題ないと思いますよ それが興味がある時期は子供ってその なんかこれ大好き,Neutral,Positive
字幕,13,っていう時にあの めちゃめちゃ長い時間かけて集中するって なるんですけどであの子供の頃に集中する 癖をつけといったこの方が割と 成功する確率高いんですよねこのままあの 嫌いなものに集中できるこの方が学校の 政局があるんですけどただ嫌いなもの,Negative,Positive
字幕,13,じゃ なくても好きなものだけでもめちゃめちゃ 集中できるっていうのがあると何かこれ やりたいって時に2時間3時間で集中でき たりするとそれだけでそれなんか毎日の やると結構いろんなものが習得できたり するんですよ なんでその小学生ってその集,Neutral,Positive
字幕,13, いうのであれば若いうちから集中力が 鍛えられるって事になるので全然問題ない んじゃないかなと思いますけど,Neutral,Positive
字幕,14,治療院業界で勤めてる26歳です 業界は衰退期に突入しておりどこの会社も MAで大手が伸びてる状態です私の会社 25人規模の会社でここ最近は予算を 下回っています 患部にはなりましたが社長覗き寒ンバー さん人で院長陣と私になります 幹部といっ,Neutral,Negative
字幕,14,ればその大手から仕事を受け るっていう形でそのなんかあのお金を もらった方が儲かる気がするんですよね その治療院的なものがなくなるかって言っ てなくなるわけではないと思うのですい ませんゲップしました なのであのその要は会社員とか幹部という,Negative,Positive
字幕,14, を毎日続けるのってありなのかなっていう のを試してみればいいんじゃないかなと 思いますけど 結構その飲食店ってあの土日はその開け たいけど人がいなくて開けれないみたいな お店もあったりするのでなのであの土日 だけちょっと働かしてくれません,Neutral,Negative
字幕,15,うつ病や統合失調症は病気なんでしょうか はいがんのようにがん細胞が見ず見つから ず頭が走れそうですその 脳の動きがどのようになっているのかって いうのを開けてチェックすることができ ないのでなのでその要は一応 脳の中でその神経が繋がっていて,Neutral,Negative
字幕,15,でそこに こう電気信号が通ることで言ってその人は なんかあの記憶だったり考えを教えると 言われてるんですけどじゃああなたの考え がどういう風になってるのか開いて見てみ ましょう」ってやると死んじゃうんですよね なのであの主要みたいな全然不必,Negative,Neutral
字幕,15,できない のでなのであのそのガンみたいな感じで わかりやすい形にならないっていうのでで もそれをこう実際直せるようになるのは 50年ぐらいかかるじゃないですかね そのナノロボットみたいなものがその 血管経由で送ってでその 脳神経とかをある程,Neutral,Negative
字幕,16,っていう感じでその 投資の考えがイコール党の考え方なので そのまあその投手に逆らったらもうこの 通りいられないよねっていう状況が変わら ないっていう意味で行くとやっぱりその 投手のワンマンっていうのがあるんじゃ ないかなと思いますけどなんで,Neutral,Negative
字幕,16,くとやっぱりあのなんか ワンマンインディー政党の枠に共産党は 構造的に入っちゃうのかなと思いますけど,Neutral,Negative
字幕,17,ことですが高校らしいって心も 積雪じゃない逆に 臭い不潔な構成中じゃないのでしょうか Yahooニュースのコメントなんだ学校 は間違ってない系のコメントが多く届け ましたの健康を教えてください 多分その学校の方向性によるんですよね 結局その,Neutral,Negative
字幕,17,どんなあのコアローってその 髪の毛をこう編んでてそのトウモロコシのようにこう 房を作るっていう 日本人でその直毛の人だと無理なんです けどそのあの黒人さんとか割とあの くせっ毛のある人だとでき るっていうのがあるんですけどでその高速 という,Neutral,Negative
字幕,18,日本の場合 めちゃくちゃ低いんですよ あのえっとそのタレントさんとかで 顔がいいだけで売れてる人って 20代ぐらいで終わっちゃうんですよね 阿部寛さんっていう元々メンズノンドとか 持ってるであの人かっこいいよね背高いよ ねって言われた人がい,Negative,Positive
字幕,18,0代でも稼いでる人ってそんなに顔良く ないんですよつか声 なのでその顔で食おうとするっていうのを 挑戦する時点でかなり難易度高いんですよ ね僕思いつかないですよね顔だけで40代 まで行ってうまく稼いでる人って 日本の場合だとあの女性の場合は,Neutral,Negative
字幕,18,顔がいい というので20代のうちに金持ちと結婚 することで勝ち抜けができるんですよ コメントで例えば竹野内豊とかって書いたんですけど 竹内豊さんは役者としての演技がちゃんと できますなのであの 演技がそんなにできないけどイケメンだけ でなん,Neutral,Positive
字幕,19,えっと15万円で暮らせるようにコストを 下げればいいんじゃないですか今の仕事を 続けたいのであれば15万円で生活できる ような形の生活っていうのをすればいいだけなので 一応それまで高さ相棒出てますねすいません相棒 めっちゃいいよそうだった ,Neutral,Positive
字幕,19,あれがいるかな顔だけでうまくいった人 いやなんか結構ね男性は厳しいですよね顔 がいいと割とそのあのまあ仕事とかでも それなりに採用されてしまうのでなんか うまくいっちゃう感じがするんですよねな のであの石田一成さんとかが多分昔顔が いいけど,Neutral,Positive
字幕,19,実態としてそこまで能力が高く ないということで多分今苦労し てらっしゃる感じになるんじゃないかなと思うけど,Neutral,Negative
字幕,22,す 魅力的に堀江氏のことどうも堀江は細君が 苦手派でもあのやれることが増えたって いうのであの 楽しくやるんじゃないですかただその なんか世間の人がそういう行動に対して どう思うのかっていうところを多分 ちょっと見誤り始めてる気がするんです,Neutral,Positive
字幕,22,すよで多く の人の支持がありませんでそのガチさんは 一応指示はあったんですけど世間的な微妙 な状態ですとでトワイアのルール的には 斎藤さん切りすること可能でしたなので じゃあ議員として 斎藤さんがじゃああの普通に政治活動する のであればまあ,Neutral,Negative
字幕,22,問題ないでしょうとただ 秘書がその国会議員かのように振る舞うと いうのになった時に別に俺はお前には投票 してないよっていうのは多分国民としては 出てきちゃうと思うんですよねですごく いいことをやってるのであれば別にいいん ですけど国会議員っ,Negative,Neutral
字幕,22,てならなくてもいい ことってできるんですよその国会議員じゃ ないとできないいいことってあんまりない し国会議員の秘書じゃないとできないいい ことというのも僕は知らないんですよねな のでその国会議員の一緒になったおかげで 社会にこういうメリッ,Neutral,Positive
字幕,22,トを提供することが できましたっていうのがあるんだったらあ そうなんだってなると思うんですけど今の ところなんかそういう話にもなってない気がするけど なのでなんか意味あるのかなーって気がします初めて,Neutral,Positive
字幕,23,今日のタイトルが子供と大人の勝ち負けの 基準っていうのをしたんですけど 子供の場合だと例えば 揉めてる相手が 殴り合いをして 殴り倒したであったら殴り倒した方が勝ちで 殴り倒された方が負けなんですよでもあの 二十歳超えると 殴り倒された方が,Negative,Neutral
字幕,23,ので立花 さんファンが喜んでるとで立花さんファン は元々立花さんファンなんですよなので それで別にファンが増えたわけなくファン が立花つえーって言ってるとでその川上 さん別にあの 芸能人でもYouTuberでもないので ファンを増やしたいと,Neutral,Positive
字幕,23,話ししたく ないですって言ってもいいんだっていうの があったのでなのでもう頭のおかしな人と は会話しませんっていうのを僕も公式に 言えるようになったのであの立花さんと よく対談をしろみたいのがなんか Twitterで来るんですけど立花さん ,Negative,Neutral
字幕,23,んですけどその後何を得 たのかっていうと僕立花さんが得たもの あんまりないと思うんですよねではその 世間で行くと 川上さんはあのガーシーさんに教養をされた 被害者なんですよその 警察に被害届を出してでそのじゃあガシ さんを支援していたし 友,Neutral,Negative
コメント,1,男梅サワーでかんぱーい！,Neutral,Positive
コメント,1,寝てればいいじゃん,Neutral,Negative
コメント,1,あざーす,Neutral,Positive
コメント,1,ようひろき,Neutral,Positive
コメント,1,うぃ〜ッス,Neutral,Positive
コメント,1,ひろゆきさん、こんばんは♡,Neutral,Positive
コメント,1,なんか痩せた？小顔に,Neutral,Positive
コメント,1,3月もあともうちょい。,Neutral,Positive
コメント,1,寂しいんでしょ(*^ーﾟ),Negative,Neutral
コメント,1,なんとなくの爆発力,Neutral,Positive
コメント,1,わ～,Neutral,Positive
コメント,1,乾杯ウィースっ:clinking_glasses:,Neutral,Positive
コメント,1,もう　ちよいで　なに:exclamation_question_mark:,Neutral,Negative
コメント,1,声低いな！？,Neutral,Negative
コメント,1,年度末にスパチャで小銭稼ぎしたいってことだよな,Neutral,Positive
コメント,1,風邪引いてる今がチャンス,Neutral,Negative
