text,human_label,bert_pred,xlmr_pred,tier,source
おっおー！こんばんは♪,Positive,Positive,Positive,層1,BERT
傾聴できる人はええんやで,Positive,Positive,Positive,層1,BERT
まぁ、イケメンならほどほど行けるけどねー,Neutral,Neutral,Positive,層1,BERT
自衛隊発動権は、総理だろ、,Neutral,Neutral,Negative,層1,BERT
あっちとは絡まないほうがいい,Negative,Neutral,Negative,層1,BERT
皇帝ペンギンが好きです:virtualhug:,Neutral,Neutral,Positive,層1,BERT
中間層多いな,Neutral,Neutral,Negative,層1,BERT
負けるが勝ちってやつ,Neutral,Neutral,Neutral,層1,BERT
川上さんはくちゃくちゃしてた,Neutral,Neutral,Positive,層1,BERT
親の為に生きてる訳じゃないよ,Neutral,Neutral,Neutral,層1,BERT
昨日休んだしね,Neutral,Neutral,Neutral,層1,BERT
顔は変わり続ける…,Negative,Neutral,Neutral,層1,BERT
言われた,Neutral,Negative,Neutral,層1,BERT
タックル議員,Negative,Negative,Neutral,層1,BERT
カクカク,Neutral,Negative,Neutral,層1,BERT
思い浮かばないくらいにはいないよw,Positive,Negative,Neutral,層1,BERT
大使といったら地獄大使,Negative,Negative,Negative,層1,BERT
おじさんおばさんだろ,Negative,Negative,Neutral,層1,BERT
バンダナ…,Negative,Negative,Negative,層1,BERT
次の就活にやや響く,Neutral,Negative,Neutral,層1,BERT
フランスは事実婚が多いよ,Neutral,Negative,Neutral,層1,BERT
謝るひろゆき,Neutral,Negative,Negative,層1,BERT
いいね。その考え方,Positive,Positive,Positive,層2,BERT
今のままでオッケーだよー,Positive,Positive,Positive,層2,BERT
ホリエモン、うたも歌ってるよね笑,Positive,Positive,Positive,層2,BERT
役場職員のままが良いよ～,Positive,Positive,Positive,層2,BERT
自分で事業やった方が楽に年収いくやろ,Neutral,Positive,Neutral,層2,BERT
こんにちは。以前YUGOチャンネルのイタリアの回で、由佳さんがひろゆきさんの事を暴露してるの超面白かったです。ひろゆきさん最近人生の無駄な時間過ごしてますか？,Positive,Positive,Positive,層2,BERT
ひろゆきTube毎日見れて幸せでーす:red_heart::red_heart::red_heart::red_heart::red_heart:,Positive,Positive,Positive,層2,BERT
元々、やりたいことやってる感w,Positive,Positive,Neutral,層2,BERT
ひろゆき常識人だよなｗ,Positive,Positive,Positive,層2,BERT
