text,label,pred_label,tier
上司と合わず、4月から異動します。異動希望が通ったのは良かったのですが、その上司も異動になりました。仕事自体は割と楽な方で次の異動先は割と忙しいことから、上司が異動するなら正直異動希望出さなくても良かったのかなと思っています。一方で、次の上司が合う人とは限らないところもあるので、異動を希望した自分の判断が正しかったのか分からなくなってしまいました。どんな気持ちでいるべきかアドバイスをお願いします。,Neutral,Positive,層1
まぁ、イケメンならほどほど行けるけどねー,Neutral,Positive,層1
松嶋菜々子の旦那さんよな,Neutral,Positive,層1
つかこうへいさん,Neutral,Positive,層1
よろちと言うもんがよろち！　:pouting_cat:w,Positive,Positive,層1
日本ほど女性の地位のたかい国はないぞ、あほな,Negative,Positive,層1
こんにちは今来ました,Neutral,Positive,層1
ようクルクルする,Neutral,Positive,層1
フフフ,Positive,Positive,層1
マイクがぷつぷつ:studio_microphone:,Neutral,Positive,層1
あたま低く見えるけど,Negative,Neutral,層1
w,Positive,Neutral,層1
ｗ,Positive,Neutral,層1
w,Positive,Neutral,層1
ちゃんとしてる,Positive,Neutral,層1
ホルモン異常がでなければ,Neutral,Neutral,層1
ボクサーになるしかない。,Neutral,Neutral,層1
立花,Neutral,Neutral,層1
年寄り多そうｗｗ,Positive,Neutral,層1
確度ね！,Neutral,Neutral,層1
いないいない,Neutral,Negative,層1
トップ投票だったもんね。,Neutral,Negative,層1
勝ち負け言っている奴は大抵そうか。,Negative,Negative,層1
YouTubeに集中しちゃってるけど,Neutral,Negative,層1
卒業まで待つしかない,Neutral,Negative,層1
小西ひろゆきは成熟しない議員,Negative,Negative,層1
やっぱり,Neutral,Negative,層1
絶対もっと言ってた,Negative,Negative,層1
なんともいえん,Neutral,Negative,層1
コックさんの間違いかな,Negative,Negative,層1
偏差値高い高校の方が自由だよね,Neutral,Positive,層2
グェフ。,Neutral,Positive,層2
いぬやしき,Neutral,Positive,層2
かんぱ〜い,Positive,Positive,層2
聞き上手は話し上手,Neutral,Positive,層2
わこつです,Positive,Positive,層2
(´・∀・｀)ﾍｰ,Positive,Positive,層2
うぃ〜ッス,Positive,Positive,層2
顔は創れる,Neutral,Positive,層2
野菜大事ですね,Neutral,Positive,層2
家事はマシーンにやってもらお,Neutral,Neutral,層2
顔は変わるよ,Neutral,Neutral,層2
坊主でおk,Neutral,Neutral,層2
そうだね,Positive,Neutral,層2
ゲップだったん？,Neutral,Neutral,層2
海外からも、あるんだな!,Positive,Neutral,層2
年取ったら終わりだよね,Negative,Neutral,層2
立花さん,Neutral,Neutral,層2
自分は出来ると思い込んでいる奴,Negative,Neutral,層2
